Harry Potter|	0.2004702064281454
Ron Weasley|	0.09219626767781332
Hermione Granger|	0.06550445771544937
Albus Dumbledore|	0.03683285625826191
Rubeus Hagrid|	0.026789165894638037
Professor Severus Snape|	0.02623382454579215
Draco Malfoy|	0.02466180753595716
Sirius Black|	0.02342239257036625
Gryffindor|	0.018269660635043324
Fred Weasley|	0.0174151229640835
George Weasley|	0.015521087933771239
Ginny Weasley|	0.01492889208996805
Neville Longbottom|	0.013486917066658432
Voldemort|	0.012669990586026206
Slytherin|	0.010769165602106189
Professor Lupin|	0.010118410386695583
Dudley Dursley|	0.009033971389616433
Percy Weasley|	0.008452768380500963
Vernon Dursley|	0.008323588140293985
Cedric Diggory|	0.00798944699430075
Dobby|	0.007469367133635962
Goyle|	0.007417737197913883
Cornelius Fudge|	0.007259883793472619
Alastor Moody|	0.00718610961052908
Petunia Dursley|	0.007031445359236684
Peter Pettigrew|	0.006996869430083157
Vincent Crabbe|	0.0067596777916659806
Ravenclaw|	0.0067035441354734646
Mr Crouch|	0.006625925894198509
Hufflepuff|	0.006580084473025958
Dean Thomas|	0.006506379444356305
Viktor Krum|	0.006350573577515026
Nearly Headless Nick|	0.006222246789882799
Filch|	0.006179056564144141
Lavender Brown|	0.005985480432462166
Cho Chang|	0.005740834505384092
Angelina Johnson|	0.0056901737474849045
Seamus Finnigan|	0.005650911606061634
James Potter|	0.005639294976034723
Fleur Delacour|	0.0056266462512237535
Ludo Bagman|	0.005520689048518461
Parvati Patil|	0.005385722498894079
Oliver Wood|	0.005363382274471793
Hedwig|	0.005182619081058515
Gibleroy Lockhart|	0.005164147479563555
Bill Weasley|	0.0051144515592678325
Katie Bell|	0.004950307475285718
Crookshanks|	0.004875962936634571
Ernie Mcmillan|	0.004866383826059625
Tom Riddle|	0.004779889148158183
Professor Trelawney|	0.004574945923211372
Madam Maxime|	0.004525366679551722
Igor Karkaroff|	0.004501545551055718
Salazar Slytherin|	0.004475900297905409
Colin Creevey|	0.0044717356236812986
Madam Pomfrey|	0.00436426701693957
Professor Flitwick|	0.004286464999730849
Justin Finch-Fletchley|	0.0042596527011437915
Lee Jordan|	0.004168134046262272
Rita Skeeter|	0.0041653225598537215
Godric Gryffindor|	0.004034924954613191
Peeves|	0.004029168510209244
Alicia Spinnet|	0.003933408315681838
Scabbers|	0.0038914381494089783
Buckbeak|	0.0038425634218444914
Charlie Weasley|	0.0037520159543099505
Pansy Parkinson|	0.003740872106520202
Professor Sprout|	0.0037027729280989267
Winky|	0.0036923341224548833
Fawkes|	0.0035081249865613192
Fat Friar|	0.0034918969349075155
Rowena Ravenclaw|	0.0034537455901145924
Helga Hufflepuff|	0.0034537455901145924
Firenze|	0.0034396014906541523
Fang|	0.003404999122725943
Lily Potter|	0.0031596341329976937
Hannah Abbott|	0.0029873750950190174
Bane|	0.0029659144815054822
Pigwidgeon|	0.0029235855289756626
Moaning Murtle|	0.0029091930622350643
Padma Patil|	0.0028685855760201074
Professor Grubbly-Plank|	0.002751115188316272
Madam Hooch|	0.002720634065823773
Bertha Jorkins|	0.0026136217558525936
Professor Minerva Mcgonagall|	0.0025541075694922983
Fluffy|	0.0025537738635161137
Molly Weasley|	0.0025307615990658987
Dursley|	0.0025080604213704692
Dennis Creevey|	0.00248102226109795
Professor Binns|	0.0024654470069353854
Roger Davis|	0.0024375758051746327
Millicent Bulstrode|	0.0024245169430727282
Norbert|	0.002419675179054623
Aragog|	0.002418586473600199
Professor Sinistra|	0.0023672680119752156
Bloody Baron|	0.0023526896060095492
Ronan|	0.002335664595857491
Nicolas Flamel|	0.002301109853704451
Mr Ollivander|	0.002299166135183161
Madam Pince|	0.002247374531578165
Sir Cadogan|	0.0021749613101739057
Amos Diggory|	0.0021344129493739462
Penelop Clearwater|	0.0020605938494518417
Headless|	0.002034078531649905
Madam Malkin|	0.0019901387443553658
Griphook|	0.0019406431980011174
